Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
06731712,00053915,06693952,00004838,00006091
06732224,00053920,06699504,00004839,00006092
06731632,00053923,06694272,00004841,00006091
06731664,00053926,06697584,00004839,00006089
06731584,00053928,06697224,00004838,00006089
06731896,00053928,06694552,00004834,00006089
06732320,00053920,06699616,00004835,00006084
06731528,00053924,06693816,00004833,00006085
06731352,00053917,06698680,00004834,00006085
06731656,00053914,06696216,00004835,00006084
06732000,00053908,06695696,00004834,00006084
06732272,00053902,06699176,00004833,00006082
06731296,00053896,06693568,00004837,00006082
06731616,00053897,06699056,00004836,00006084
06731984,00053885,06695232,00004834,00006083
06732160,00053883,06696624,00004836,00006085
06732216,00053868,06698616,00004836,00006083
06731512,00053872,06694160,00004834,00006082
06731568,00053879,06699576,00004836,00006083
06731360,00053862,06694504,00004835,00006081
06732064,00053864,06697296,00004833,00006082
06732080,00053864,06697528,00004833,00006085
06731568,00053859,06694216,00004833,00006082
06731656,00053854,06699688,00004835,00006080
06731720,00053855,06693744,00004836,00006078
06732224,00053857,06697896,00004831,00006080
06731744,00053858,06696336,00004830,00006083
06731488,00053860,06694728,00004833,00006080
06731624,00053856,06699232,00004835,00006082
06731832,00053854,06693528,00004834,00006079
06731904,00053858,06699024,00004835,00006081
06731744,00053857,06695392,00004834,00006078
06731320,00053860,06696176,00004835,00006080
06731416,00053858,06698664,00004838,00006079
06731656,00053860,06693696,00004834,00006081
06732384,00053856,06699192,00004835,00006083
06731640,00053857,06694448,00004836,00006081
06731472,00053861,06696832,00004835,00006080
06731448,00053863,06697624,00004834,00006081
06731608,00053863,06694064,00004834,00006082
06732416,00053864,06699536,00004838,00006077
06731672,00053869,06694440,00004835,00006083
06731288,00053864,06697680,00004832,00006081
06731440,00053862,06697256,00004836,00006077
06731728,00053861,06695144,00004832,00006085
06732080,00053870,06699656,00004833,00006085
06731688,00053876,06693760,00004835,00006084
06731656,00053875,06698992,00004834,00006082
06731448,00053883,06695784,00004835,00006081
06731968,00053890,06695344,00004836,00006083
06731936,00053889,06698896,00004837,00006085
06731320,00053887,06693168,00004836,00006084
06731192,00053901,06699464,00004837,00006085
06731640,00053899,06695096,00004835,00006082
06731952,00053902,06697008,00004833,00006086
06732080,00053909,06698616,00004839,00006084
06731624,00053912,06694040,00004837,00006086
06731512,00053908,06699264,00004836,00006084
06731736,00053920,06694136,00004838,00006088
06731944,00053918,06697144,00004833,00006089
06732016,00053921,06697160,00004836,00006088
06731248,00053926,06694344,00004840,00006089
06731344,00053928,06699752,00004840,00006088
06731216,00053931,06693888,00004838,00006090
06731720,00053943,06698424,00004833,00006090
06731504,00053945,06696624,00004840,00006087
06731144,00053937,06694984,00004838,00006088
06731744,00053948,06699304,00004838,00006091
06731616,00053948,06693456,00004839,00006090
06731984,00053957,06698752,00004838,00006091
06731688,00053957,06695248,00004840,00006090
06731480,00053962,06695952,00004837,00006092
06731632,00053967,06698880,00004839,00006091
06731688,00053955,06694000,00004840,00006088
06732216,00053959,06699840,00004840,00006086
06731656,00053951,06694560,00004837,00006086
06731024,00053943,06696992,00004838,00006088
06731448,00053950,06697568,00004835,00006085
06731496,00053934,06693880,00004835,00006085
06731920,00053940,06699312,00004832,00006086
06731696,00053937,06694200,00004835,00006085
06731184,00053929,06698320,00004834,00006085
06731440,00053915,06696912,00004837,00006083
06731848,00053912,06694928,00004837,00006087
06731960,00053910,06699216,00004836,00006082
06731344,00053905,06693856,00004837,00006081
06731336,00053904,06698728,00004835,00006083
06731272,00053894,06695880,00004835,00006080
06731600,00053886,06695608,00004834,00006081
06732072,00053892,06699088,00004833,00006081
06731248,00053883,06693832,00004833,00006083
06731000,00053882,06699336,00004835,00006082
06731056,00053877,06694704,00004839,00006082
06731896,00053879,06696184,00004839,00006082
06731872,00053876,06698296,00004836,00006080
06731208,00053872,06693672,00004838,00006081
06731200,00053869,06699352,00004838,00006085
06731248,00053873,06693888,00004834,00006081
06732000,00053869,06697824,00004836,00006083
06731880,00053864,06697232,00004839,00006081
06731080,00053866,06694616,00004836,00006084
06731120,00053865,06699520,00004836,00006085
06731424,00053865,06694104,00004834,00006081
06732024,00053866,06698696,00004833,00006085
06731592,00053868,06696536,00004835,00006081
06731152,00053861,06695288,00004836,00006079
06731240,00053861,06698760,00004836,00006079
06731584,00053867,06693736,00004838,00006080
06731984,00053861,06699056,00004833,00006081
06731520,00053861,06695832,00004838,00006082
06731232,00053868,06696248,00004838,00006081
06730824,00053868,06698400,00004833,00006083
06731200,00053869,06693776,00004840,00006084
06731768,00053867,06699456,00004836,00006082
06731136,00053867,06694544,00004838,00006083
06731224,00053869,06696984,00004838,00006085
06731400,00053869,06697816,00004835,00006081
06731688,00053877,06694080,00004834,00006082
06731904,00053878,06699952,00004839,00006084
06731208,00053874,06693856,00004835,00006083
06730968,00053884,06698064,00004835,00006087
06731080,00053879,06696360,00004834,00006081
06731536,00053880,06695008,00004833,00006085
06731808,00053882,06699312,00004838,00006088
06731368,00053887,06694064,00004835,00006084
06731104,00053888,06699072,00004838,00006085
06731200,00053896,06696208,00004838,00006085
06731584,00053892,06695664,00004841,00006085
06731896,00053897,06698800,00004837,00006087
06731040,00053900,06693912,00004838,00006086
06731224,00053898,06699192,00004838,00006087
06731528,00053905,06695080,00004836,00006086
06731824,00053909,06697144,00004838,00006082
06731808,00053913,06698744,00004836,00006087
06731272,00053919,06694504,00004835,00006089
06731472,00053913,06699952,00004839,00006088
06731216,00053920,06694480,00004836,00006085
06731816,00053922,06697880,00004838,00006088
06731336,00053930,06697560,00004835,00006087
06731136,00053926,06694576,00004835,00006086
06731376,00053928,06699216,00004836,00006088
06731304,00053926,06693560,00004836,00006084
06731872,00053918,06698640,00004834,00006084
06731576,00053913,06696464,00004836,00006082
06730792,00053911,06695360,00004834,00006086
06731272,00053900,06698944,00004834,00006080
06731632,00053901,06693864,00004831,00006082
06732072,00053892,06699120,00004836,00006081
06731712,00053885,06695704,00004833,00006081
06731184,00053883,06696744,00004834,00006078
06731480,00053872,06698504,00004832,00006078
06731320,00053863,06694184,00004835,00006078
06732000,00053863,06699424,00004829,00006081
06731488,00053852,06694704,00004832,00006076
06731544,00053851,06697640,00004832,00006080
06731464,00053846,06698048,00004830,00006078
06731528,00053838,06694744,00004834,00006079
06731968,00053827,06699736,00004835,00006077
06731600,00053829,06694352,00004833,00006080
06731496,00053828,06698496,00004836,00006075
06731880,00053821,06697112,00004833,00006076
06732136,00053819,06695120,00004835,00006076
06732680,00053813,06699784,00004831,00006076
06732120,00053820,06694344,00004831,00006077
06732552,00053817,06699536,00004833,00006074
06732784,00053813,06696784,00004833,00006072
06732968,00053807,06696864,00004831,00006078
06733480,00053809,06700160,00004833,00006080
06733120,00053809,06695152,00004833,00006077
06732992,00053810,06700376,00004830,00006076
06733424,00053805,06695976,00004834,00006077
06733672,00053809,06698296,00004832,00006080
06733760,00053812,06699160,00004833,00006073
06733144,00053808,06695640,00004833,00006075
06733352,00053809,06700800,00004833,00006077
06733432,00053805,06695512,00004835,00006072
06733968,00053809,06699000,00004836,00006078
06733840,00053811,06698584,00004831,00006077
06733104,00053811,06695960,00004830,00006076
06732912,00053811,06700552,00004830,00006078
06733104,00053816,06695104,00004834,00006078
06733712,00053822,06699984,00004834,00006077
06733368,00053820,06697072,00004836,00006076
06732632,00053830,06696600,00004835,00006076
06732720,00053824,06699976,00004834,00006077
06732848,00053830,06694664,00004833,00006083
06733152,00053825,06700048,00004834,00006083
06732704,00053829,06695864,00004834,00006078
06732304,00053840,06697056,00004831,00006080
06732544,00053838,06699160,00004832,00006083
06732024,00053839,06694624,00004835,00006079
06732832,00053847,06700408,00004834,00006081
06732360,00053852,06695312,00004833,00006081
06731944,00053852,06698264,00004831,00006083
06732432,00053852,06698032,00004834,00006078
06732560,00053856,06694608,00004836,00006080
06732520,00053863,06699704,00004833,00006080
06731736,00053867,06694488,00004835,00006081
06731536,00053864,06698576,00004834,00006078
06732072,00053878,06697104,00004831,00006080
06732216,00053871,06695616,00004836,00006079
06732472,00053880,06699608,00004836,00006080
06732216,00053883,06694584,00004835,00006080
06731920,00053886,06699320,00004832,00006084
06731912,00053889,06696224,00004837,00006086
06731816,00053890,06696248,00004837,00006082
06731960,00053900,06699160,00004836,00006086
06731432,00053901,06694200,00004832,00006084
06731344,00053904,06699680,00004835,00006082
06731680,00053900,06695272,00004834,00006079
06731816,00053901,06697648,00004835,00006081
06731984,00053897,06698088,00004832,00006080
06731408,00053888,06694032,00004833,00006080
06731408,00053887,06699560,00004829,00006077
06731840,00053878,06694128,00004834,00006082
06731680,00053871,06698096,00004831,00006074
06731792,00053873,06697208,00004829,00006077
06731368,00053863,06694816,00004833,00006075
06731512,00053857,06699624,00004834,00006076
06731872,00053855,06693832,00004832,00006077
06731800,00053841,06699152,00004834,00006076
06731672,00053845,06696368,00004831,00006073
06731392,00053836,06695592,00004834,00006070
06731456,00053832,06698984,00004833,00006074
06731424,00053829,06693688,00004833,00006073
06731600,00053824,06698872,00004835,00006075
06731064,00053816,06695320,00004833,00006073
06731032,00053810,06696560,00004832,00006074
06731136,00053810,06698128,00004832,00006074
06731496,00053817,06693384,00004833,00006074
06731960,00053811,06699248,00004831,00006073
06731488,00053809,06694032,00004832,00006072
06731040,00053805,06697552,00004832,00006076
06731304,00053809,06697256,00004832,00006074
06731216,00053808,06693928,00004832,00006071
06731584,00053804,06699208,00004833,00006076
06730992,00053804,06693464,00004830,00006071
06730976,00053800,06698336,00004831,00006073
