Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
08358320,00065644,08856120,00002173,00003189
08357992,00065627,08854768,00002174,00003187
08358368,00065581,08854392,00002172,00003184
08358600,00065551,08855624,00002169,00003184
08358384,00065522,08856616,00002171,00003183
08358592,00065499,08856048,00002170,00003182
08357984,00065472,08854744,00002171,00003182
08358432,00065453,08854480,00002169,00003181
08358408,00065435,08855848,00002170,00003181
08358624,00065410,08856840,00002171,00003178
08358008,00065387,08855920,00002169,00003176
08358104,00065363,08854600,00002170,00003177
08358384,00065328,08854464,00002166,00003176
08358816,00065298,08855856,00002166,00003174
08358392,00065271,08856664,00002172,00003171
08357968,00065254,08855664,00002168,00003168
08358216,00065231,08854400,00002167,00003172
08358200,00065223,08854976,00002168,00003174
08358936,00065199,08856192,00002167,00003169
08358208,00065195,08856696,00002166,00003171
08358312,00065187,08855656,00002169,00003171
08357896,00065185,08854344,00002166,00003171
08358760,00065185,08855160,00002165,00003172
08358704,00065193,08856280,00002167,00003171
08358472,00065191,08856632,00002167,00003169
08358096,00065192,08855128,00002166,00003167
08358008,00065194,08854224,00002167,00003167
08358584,00065197,08855008,00002167,00003167
08358664,00065197,08856704,00002166,00003166
08358480,00065206,08856736,00002165,00003168
08357856,00065199,08855440,00002167,00003167
08358504,00065214,08854536,00002164,00003164
08358504,00065213,08855592,00002167,00003166
08358856,00065219,08856720,00002167,00003167
08358096,00065227,08856808,00002165,00003170
08358392,00065228,08855072,00002166,00003167
08358088,00065244,08854408,00002164,00003169
08358864,00065258,08855640,00002167,00003170
08358488,00065264,08856608,00002168,00003170
08358272,00065280,08856152,00002167,00003171
08358160,00065282,08854792,00002168,00003168
08358000,00065299,08854352,00002166,00003171
08358760,00065308,08855528,00002167,00003172
08358344,00065324,08856824,00002168,00003173
08358264,00065338,08856216,00002169,00003175
08357888,00065351,08854808,00002168,00003178
08358480,00065362,08854792,00002168,00003176
08358304,00065376,08855936,00002168,00003175
08358792,00065396,08856896,00002172,00003176
08358040,00065408,08855920,00002169,00003177
08358096,00065426,08854584,00002171,00003176
08358232,00065443,08854968,00002172,00003181
08358536,00065469,08856136,00002170,00003180
08358216,00065483,08856528,00002168,00003177
08357976,00065500,08855496,00002168,00003181
08358120,00065523,08854560,00002167,00003178
08358232,00065542,08854824,00002171,00003182
08358840,00065559,08856256,00002170,00003182
08358144,00065574,08856616,00002169,00003181
08358296,00065593,08855464,00002174,00003184
08357888,00065607,08854232,00002174,00003186
08358552,00065625,08854904,00002174,00003188
08358448,00065641,08856376,00002175,00003192
08358704,00065665,08856488,00002170,00003190
08357792,00065678,08855136,00002174,00003194
08357856,00065699,08854048,00002172,00003190
08358224,00065718,08855184,00002172,00003194
08358464,00065730,08856240,00002178,00003194
08358040,00065755,08856184,00002174,00003196
08357552,00065769,08854712,00002176,00003195
08357832,00065792,08854208,00002177,00003199
08358296,00065811,08855224,00002175,00003201
08358592,00065831,08856248,00002179,00003203
08358048,00065846,08856176,00002179,00003203
08358120,00065866,08854536,00002177,00003203
08357960,00065866,08854288,00002179,00003203
08358432,00065878,08855600,00002179,00003201
08358152,00065868,08856704,00002177,00003199
08357816,00065853,08855960,00002176,00003194
08357656,00065828,08854392,00002177,00003194
08358104,00065799,08854328,00002175,00003193
08358264,00065781,08855552,00002175,00003191
08357912,00065738,08856272,00002174,00003190
