Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
06997352,00054902,06991464,00001503,00002008
06997480,00054900,06991352,00001502,00002011
06997392,00054894,06991144,00001504,00002005
06997304,00054889,06991152,00001503,00002006
06997216,00054885,06991152,00001502,00002006
06997520,00054872,06991368,00001502,00002007
06997552,00054866,06991440,00001501,00002005
06997392,00054866,06991712,00001501,00002006
06997408,00054862,06991216,00001500,00002004
06997648,00054859,06991328,00001506,00002008
06997400,00054850,06991440,00001505,00002004
06997424,00054848,06991360,00001500,00002004
06997240,00054839,06991344,00001502,00002006
06997696,00054844,06991120,00001503,00002004
06997672,00054836,06991336,00001500,00002006
06997216,00054835,06991136,00001502,00002005
06997552,00054842,06991544,00001501,00002003
06997464,00054857,06991368,00001501,00002008
06997392,00054863,06991024,00001504,00002007
06997672,00054871,06991160,00001504,00002006
06997112,00054871,06991424,00001502,00002009
06997176,00054869,06991408,00001505,00002005
06996936,00054866,06991360,00001503,00002009
06997160,00054850,06991336,00001502,00002008
06997088,00054845,06991208,00001506,00002011
06996976,00054847,06991240,00001505,00002011
06997080,00054853,06991120,00001503,00002010
06997032,00054845,06991048,00001505,00002010
06997080,00054840,06991008,00001505,00002006
06997040,00054833,06991416,00001505,00002010
06997216,00054819,06991280,00001502,00002006
06997136,00054813,06991312,00001503,00002007
06997256,00054804,06990984,00001503,00002010
06997032,00054805,06990760,00001502,00002007
06996832,00054808,06991000,00001501,00002012
06996952,00054814,06991344,00001504,00002008
06996816,00054814,06991376,00001505,00002007
06996720,00054820,06991120,00001506,00002008
06996896,00054813,06990792,00001504,00002007
06996496,00054814,06991136,00001505,00002010
06996840,00054824,06990952,00001504,00002008
06996584,00054826,06991248,00001508,00002010
06996544,00054828,06991024,00001507,00002009
06996600,00054831,06990952,00001506,00002011
06996624,00054832,06991064,00001507,00002009
06996648,00054834,06991128,00001506,00002012
06996608,00054827,06991272,00001503,00002013
06996800,00054826,06991064,00001507,00002011
06996752,00054834,06991232,00001509,00002013
06996760,00054838,06990424,00001508,00002015
06996672,00054844,06991072,00001503,00002013
06996904,00054849,06991016,00001512,00002011
06996872,00054845,06990808,00001503,00002016
06996880,00054838,06990896,00001507,00002014
06996704,00054845,06990728,00001506,00002016
06996344,00054852,06991000,00001507,00002013
06996408,00054863,06990752,00001508,00002014
06996152,00054869,06990592,00001508,00002014
06996384,00054881,06990728,00001507,00002015
06996488,00054892,06990392,00001511,00002018
06996432,00054897,06990776,00001512,00002019
06996176,00054897,06990792,00001511,00002018
06996344,00054900,06990744,00001508,00002021
06996048,00054905,06990648,00001510,00002018
06996384,00054905,06990792,00001508,00002023
06996104,00054917,06990840,00001511,00002019
06996192,00054929,06990512,00001510,00002022
06995992,00054930,06990456,00001510,00002019
06996192,00054942,06990432,00001511,00002023
06996048,00054944,06990520,00001510,00002024
06996200,00054950,06990688,00001512,00002024
06996264,00054956,06990392,00001512,00002023
06996288,00054959,06990088,00001513,00002025
06996024,00054954,06990384,00001513,00002029
06995904,00054972,06990608,00001514,00002026
06996080,00054981,06990472,00001513,00002026
06995648,00054995,06990448,00001512,00002030
06995736,00055006,06990552,00001512,00002029
06995648,00055012,06990400,00001511,00002028
06995568,00055016,06990464,00001512,00002027
06995544,00055020,06990400,00001513,00002029
06995496,00055018,06990176,00001513,00002023
06995600,00055010,06990144,00001513,00002023
06995696,00055003,06990296,00001510,00002023
06995536,00054990,06990280,00001510,00002021
06995824,00054976,06990208,00001509,00002022
06996064,00054954,06990080,00001511,00002022
06995712,00054949,06990168,00001511,00002019
06995432,00054937,06990200,00001509,00002018
06995512,00054931,06990120,00001513,00002019
06995440,00054921,06990176,00001510,00002019
06995768,00054909,06990400,00001510,00002017
06995424,00054903,06990440,00001508,00002018
06995672,00054897,06989968,00001508,00002019
06995584,00054886,06990264,00001509,00002018
06995664,00054882,06990208,00001509,00002014
06995512,00054869,06989880,00001507,00002019
06995728,00054864,06989856,00001510,00002021
06995488,00054871,06990088,00001511,00002017
06995680,00054862,06990424,00001509,00002017
06995392,00054850,06990184,00001510,00002015
06995296,00054838,06990008,00001507,00002019
06995232,00054833,06990064,00001509,00002016
06995288,00054825,06990080,00001509,00002018
06995248,00054825,06990072,00001510,00002019
06995344,00054823,06990064,00001511,00002019
06995648,00054825,06990056,00001512,00002018
06995440,00054836,06989984,00001510,00002019
06995344,00054834,06989784,00001509,00002015
06995184,00054820,06989928,00001512,00002018
06995288,00054817,06989736,00001511,00002018
06995296,00054813,06989720,00001510,00002018
06995040,00054814,06989712,00001511,00002017
06995264,00054799,06989752,00001508,00002015
06995240,00054798,06989856,00001509,00002015
06995320,00054796,06989688,00001511,00002016
06995144,00054784,06989640,00001507,00002016
06995160,00054786,06989984,00001509,00002015
06995248,00054788,06989888,00001508,00002019
06995224,00054783,06990144,00001511,00002019
06995664,00054777,06989752,00001513,00002019
06995464,00054767,06990056,00001507,00002018
06995104,00054768,06989632,00001510,00002018
06995040,00054765,06989976,00001512,00002018
06995184,00054768,06989920,00001511,00002017
06995096,00054773,06989800,00001511,00002015
06995192,00054766,06989808,00001510,00002015
06995040,00054763,06989952,00001512,00002019
06995176,00054762,06989800,00001512,00002020
06995344,00054757,06989896,00001509,00002022
06995384,00054756,06989768,00001508,00002018
06995512,00054746,06989872,00001512,00002020
06995784,00054756,06990040,00001511,00002019
06995616,00054759,06990312,00001512,00002021
06995328,00054763,06990112,00001511,00002020
06995304,00054762,06990032,00001513,00002022
06995240,00054755,06990048,00001514,00002021
06995400,00054747,06990064,00001511,00002019
06995216,00054747,06990008,00001510,00002022
06995328,00054754,06989808,00001511,00002022
06995040,00054753,06989632,00001511,00002021
06995328,00054763,06989752,00001513,00002022
06995256,00054766,06989432,00001514,00002022
06994928,00054767,06989808,00001514,00002023
06995456,00054765,06989528,00001513,00002026
06995304,00054762,06989464,00001516,00002023
06994976,00054762,06989560,00001512,00002023
06995064,00054766,06989848,00001515,00002023
06995024,00054775,06989552,00001514,00002027
06995192,00054774,06989344,00001515,00002025
06995352,00054778,06989488,00001513,00002026
06995152,00054783,06989544,00001514,00002026
06994872,00054781,06989488,00001513,00002026
06994824,00054779,06989512,00001513,00002025
06994944,00054775,06989368,00001513,00002026
06995056,00054773,06989464,00001515,00002027
06994896,00054778,06989336,00001514,00002026
06994880,00054781,06989608,00001514,00002028
06994904,00054778,06989736,00001515,00002029
06995072,00054784,06989416,00001512,00002031
06994840,00054784,06989304,00001513,00002031
06994632,00054769,06989192,00001514,00002032
06994408,00054777,06989536,00001518,00002033
06994704,00054772,06989728,00001514,00002032
06994960,00054777,06989096,00001516,00002032
06994712,00054785,06989160,00001517,00002031
06994904,00054784,06988912,00001517,00002033
06994896,00054789,06989568,00001516,00002033
06994736,00054798,06989024,00001516,00002033
06994480,00054800,06989216,00001518,00002034
06994672,00054805,06989304,00001517,00002038
06994512,00054804,06989176,00001518,00002032
06994640,00054814,06989192,00001518,00002031
06994528,00054816,06989272,00001517,00002032
06995032,00054820,06989072,00001516,00002033
06994704,00054812,06989144,00001517,00002032
06994448,00054801,06989008,00001513,00002028
06994448,00054774,06989144,00001516,00002029
06994616,00054749,06988784,00001513,00002027
06994680,00054722,06988952,00001513,00002026
06994688,00054702,06989016,00001514,00002022
06994768,00054700,06989064,00001514,00002026
06994584,00054699,06989120,00001514,00002023
06994632,00054693,06988792,00001511,00002025
06994744,00054677,06989088,00001515,00002025
06994584,00054645,06989040,00001514,00002023
06994432,00054609,06988840,00001514,00002024
06994408,00054586,06988784,00001514,00002019
06994440,00054572,06988984,00001516,00002021
06994592,00054580,06988984,00001511,00002022
06994312,00054582,06989232,00001512,00002022
06994544,00054579,06989128,00001510,00002018
06994480,00054575,06989216,00001511,00002020
06994528,00054570,06989272,00001512,00002016
06994544,00054540,06989128,00001513,00002017
06994384,00054532,06989280,00001512,00002019
06994312,00054517,06989120,00001513,00002017
06994128,00054517,06989048,00001510,00002017
06994448,00054516,06988872,00001511,00002019
06994232,00054505,06988920,00001511,00002018
06994128,00054506,06989016,00001510,00002017
06994472,00054511,06989104,00001511,00002019
06994552,00054498,06988760,00001513,00002018
06994312,00054491,06988560,00001510,00002020
06994176,00054491,06988624,00001512,00002019
06994400,00054492,06988784,00001510,00002018
06994384,00054486,06988808,00001511,00002019
06994024,00054480,06988864,00001511,00002022
06994112,00054475,06988576,00001510,00002020
06994208,00054469,06988776,00001512,00002018
06994144,00054459,06988856,00001509,00002019
06994032,00054449,06988824,00001511,00002016
06994208,00054446,06988560,00001508,00002016
06993680,00054450,06988656,00001511,00002019
06994056,00054455,06988824,00001513,00002017
06994056,00054445,06988960,00001512,00002019
06993808,00054441,06988808,00001513,00002018
06993912,00054439,06988912,00001514,00002018
06994032,00054434,06988832,00001509,00002019
06993824,00054426,06989160,00001511,00002019
06993952,00054425,06989016,00001509,00002018
06994096,00054426,06988768,00001510,00002020
06993976,00054430,06988856,00001512,00002019
06993856,00054429,06988720,00001512,00002014
06993920,00054430,06988912,00001512,00002018
06993800,00054433,06988936,00001511,00002017
06993800,00054424,06988632,00001512,00002021
